name,gitUrl,commitID,repoName
devnied:EMV-NFC-Paycard-Enrollment,https://github.com/devnied/EMV-NFC-Paycard-Enrollment.git,bfbd396,EMV-NFC-Paycard-Enrollment
mongobee:mongobee,https://github.com/mongobee/mongobee.git,4e1ec5e,mongobee
apache:incubator-datasketches-java,https://github.com/apache/incubator-datasketches-java.git,37b9336b,incubator-datasketches-java
spotify:java-hamcrest,https://github.com/spotify/java-hamcrest.git,79b439d,java-hamcrest
apache:commons-validator,https://github.com/apache/commons-validator.git,6376aa9b,commons-validator
red6:pdfcompare,https://github.com/red6/pdfcompare.git,9ab1948,pdfcompare
lightoze:gwt-i18n-server,https://github.com/lightoze/gwt-i18n-server.git,96de532,gwt-i18n-server
sachin-handiekar:jMusixMatch,https://github.com/sachin-handiekar/jMusixMatch.git,da909f7,jMusixMatch
YahooArchive:gondola,https://github.com/YahooArchive/gondola.git,b27a3af,gondola
miwurster:spring-data-influxdb,https://github.com/miwurster/spring-data-influxdb.git,a29fc9e,spring-data-influxdb
yzsunlei:xmall,https://github.com/yzsunlei/xmall.git,d2d3ce3,xmall
atomix:catalyst,https://github.com/atomix/catalyst.git,140e762,catalyst
OKaluzny:springboot-rest-api-angularjs-https,https://github.com/OKaluzny/springboot-rest-api-angularjs-https.git,d057f4b,springboot-rest-api-angularjs-https
code4craft:webmagic,https://github.com/code4craft/webmagic.git,be892b8,webmagic
decorators-squad:eo-yaml,https://github.com/decorators-squad/eo-yaml.git,8155afa,eo-yaml
zalando-stups:swagger-codegen-tooling,https://github.com/zalando-stups/swagger-codegen-tooling.git,7249d00,swagger-codegen-tooling
actframework:actframework,https://github.com/actframework/actframework.git,40184da7,actframework
whizzosoftware:WZWave,https://github.com/whizzosoftware/WZWave.git,b5a3378,WZWave
gncloud:fastcatsearch,https://github.com/gncloud/fastcatsearch.git,6ff10524,fastcatsearch
hermannpencole:nifi-config,https://github.com/hermannpencole/nifi-config.git,062583a,nifi-config
sculptor:sculptor,https://github.com/sculptor/sculptor.git,9c930cae,sculptor
NanoHttpd:nanohttpd,https://github.com/NanoHttpd/nanohttpd.git,efb2ebf,nanohttpd
jonashackt:spring-boot-rest-clientcertificate,https://github.com/jonashackt/spring-boot-rest-clientcertificate.git,9a2d087,spring-boot-rest-clientcertificate
jpmml:jpmml-model,https://github.com/jpmml/jpmml-model.git,9983d5a,jpmml-model
mdeinum:spring-utils,https://github.com/mdeinum/spring-utils.git,2efa118,spring-utils
rnorth:visible-assertions,https://github.com/rnorth/visible-assertions.git,6d7a772,visible-assertions
trekawek:toxiproxy-java,https://github.com/trekawek/toxiproxy-java.git,9613ea6,toxiproxy-java
drtrang:Copiers,https://github.com/drtrang/Copiers.git,775b2bc,Copiers
francisdb:serviceloader-maven-plugin,https://github.com/francisdb/serviceloader-maven-plugin.git,521a467,serviceloader-maven-plugin
zeebe-io:spring-zeebe,https://github.com/zeebe-io/spring-zeebe.git,c2f662f,spring-zeebe
Antibrumm:jackson-antpathfilter,https://github.com/Antibrumm/jackson-antpathfilter.git,9425b3f,jackson-antpathfilter
KengoTODA:what-is-maven,https://github.com/KengoTODA/what-is-maven.git,4fccd47,what-is-maven
dka23:gitlab-github-proxy,https://github.com/dka23/gitlab-github-proxy.git,31b384e,gitlab-github-proxy
usdot-jpo-ode:jpo-ode,https://github.com/usdot-jpo-ode/jpo-ode.git,5806eb1a,jpo-ode
miltonio:milton2,https://github.com/miltonio/milton2.git,8af28c80,milton2
Sayi:swagger-dubbo,https://github.com/Sayi/swagger-dubbo.git,f477dfd,swagger-dubbo
phax:ph-ubl,https://github.com/phax/ph-ubl.git,49dc15a,ph-ubl
