release1,release2,value
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.79.Final,2.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.101.Final,6.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.75.Final,5.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.107.Final,9.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.79.Final,5.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.89.Final,2.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.99.Final,5.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.17.Final,60.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.99.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.39.Final,18.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.2.0,0.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.90.Final,1.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.1.1,0.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.94.Final,3.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:2.7.18,0.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.51.Final,16.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.106.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.95.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.93.Final,3.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.43.Final,51.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.0.9,0.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.97.Final,5.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.1.5,0.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.39.Final,52.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.87.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.108.Final,3.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.92.Final,1.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.2.1,0.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.1.2,0.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.1.7,0.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.108.Final,9.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.1.8,0.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.51.Final,23.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.104.Final,9.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.95.Final,9.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.86.Final,3.0
io.netty:netty-tcnative-classes:2.0.59.Final,io.netty:netty-tcnative-classes:2.0.54.Final,2.0
org.springframework:spring-web:6.1.2,org.springframework:spring-web:5.3.22,452.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.2.0,3.0
org.springframework:spring-web:6.1.2,org.springframework:spring-web:5.3.20,453.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.1.1,0.0
org.springframework:spring-aop:6.0.16,org.springframework:spring-aop:5.3.29,26.0
io.netty:netty-tcnative-classes:2.0.59.Final,io.netty:netty-tcnative-classes:2.0.53.Final,2.0
org.springframework:spring-web:6.1.2,org.springframework:spring-web:5.3.4,469.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.2.1,3.0
io.netty:netty-tcnative-classes:2.0.59.Final,io.netty:netty-tcnative-classes:2.0.56.Final,1.0
org.springframework:spring-web:6.1.2,org.springframework:spring-web:5.3.29,448.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.1.2,0.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.0.0,3.0
com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.15.3,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.14.3,0.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.0.10,3.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.0.13,3.0
org.springframework.boot:spring-boot-test:3.1.8,org.springframework.boot:spring-boot-test:3.0.12,3.0
io.netty:netty-transport:4.1.90.Final,io.netty:netty-transport:4.1.97.Final,1.0
io.netty:netty-transport:4.1.90.Final,io.netty:netty-transport:4.1.87.Final,1.0
org.springframework:spring-web:6.1.2,org.springframework:spring-web:6.0.16,139.0
io.netty:netty-transport:4.1.90.Final,io.netty:netty-transport:4.1.104.Final,2.0
io.netty:netty-transport:4.1.90.Final,io.netty:netty-transport:4.1.92.Final,0.0
org.springframework:spring-web:6.1.2,org.springframework:spring-web:6.0.18,144.0
io.netty:netty-transport:4.1.90.Final,io.netty:netty-transport:4.1.108.Final,3.0
